cdr_id,type,party_a,party_b_or_apn,timestamp,duration,volume_MB,cost
7819606,sms,+20125469746,+20109322201,2025-05-12 04:28:09,,,0.17
4418805,sms,+20112251979,+20122621079,2025-05-09 02:50:14,,,0.47
5673193,sms,+20122556253,+20121495245,2025-05-02 02:57:24,,,0.29
5712588,data,+20117335298,apn3.internet,2025-05-20 12:59:44,,1393,27.86
7257816,sms,+20124266559,+20107504467,2025-05-15 05:42:54,,,0.46
4734759,data,+20123535220,apn4.internet,2025-05-01 15:07:48,,1914,38.28
6092628,voice,+20124796627,+20127051450,2025-05-21 22:31:17,472,,23.6
8799109,voice,+20117131154,+20102712388,2025-06-01 13:41:24,126,,6.3
1821833,data,+20104323973,apn5.internet,2025-05-02 14:24:59,,4005,80.1
9139589,voice,+20108457673,+20103136977,2025-05-06 20:35:44,188,,9.4
7128043,data,+20104320248,apn1.internet,2025-05-28 04:46:35,,3106,62.12
8501168,data,+20109165740,apn1.internet,2025-05-23 15:49:17,,1254,25.08
1131148,data,+20116938215,apn5.internet,2025-05-17 10:31:21,,3230,64.6
8907432,data,+20109656544,apn1.internet,2025-05-03 18:45:58,,3119,62.38
6424753,sms,+20104083828,+20107686015,2025-05-22 19:13:13,,,0.17
3645696,sms,+20114890230,+20109176806,2025-05-19 16:26:19,,,0.24
3234842,sms,+20118389329,+20126628790,2025-05-08 23:43:25,,,0.2
6733830,voice,+20109750532,+20114751345,2025-05-15 19:29:23,523,,26.15
7494850,data,+20107919494,apn4.internet,2025-05-07 08:17:49,,4616,92.32
8741587,voice,+20103907934,+20108697134,2025-05-19 16:24:25,155,,7.75
7376723,voice,+20127596783,+20121897857,2025-05-14 12:13:03,495,,24.75
3819284,data,+20116997299,apn5.internet,2025-05-02 21:40:38,,1458,29.16
9929932,data,+20126698857,apn4.internet,2025-05-25 09:09:33,,3826,76.52
2144017,sms,+20124928002,+20104157708,2025-05-15 05:49:48,,,0.26
1319150,data,+20123985174,apn4.internet,2025-05-13 12:12:59,,2262,45.24
5663707,voice,+20127276150,+20115314398,2025-05-12 19:11:05,270,,13.5
5695207,sms,+20122293383,+20114319498,2025-05-27 00:07:24,,,0.34
8760209,voice,+20109476774,+20115981159,2025-05-26 16:10:53,14,,0.7
3372035,voice,+20117013157,+20114519931,2025-05-31 09:59:06,597,,29.85
1048925,sms,+20122027772,+20106287608,2025-05-20 23:58:40,,,0.2
3756572,data,+20123032337,apn4.internet,2025-05-14 19:10:49,,2578,51.56
3637114,sms,+20122449534,+20124517357,2025-05-22 04:49:24,,,0.11
1570790,sms,+20102628962,+20111474739,2025-05-04 07:42:01,,,0.3
3119852,data,+20111760723,apn3.internet,2025-05-16 13:28:44,,3240,64.8
5558980,voice,+20127772013,+20109151242,2025-05-15 19:49:50,11,,0.55
9967175,voice,+20115437879,+20111588131,2025-05-15 19:01:13,444,,22.2
1284866,voice,+20104153953,+20125369895,2025-05-17 08:20:21,437,,21.85
9385148,data,+20103453295,apn2.internet,2025-05-23 16:17:50,,3996,79.92
2338219,data,+20127787780,apn5.internet,2025-05-14 12:55:53,,4347,86.94
9814930,sms,+20117917707,+20114269082,2025-05-03 15:33:53,,,0.42
